S&P 500 Companies,Latest Prices ($),Change (%)
Salesforce,160.28,1.82%
SBA Communications REIT,248.20,0.10%
Schlumberger,50.39,10.34%
Seagate Technology,55.71,5.05%
Sealed Air,46.87,2.02%
Sempra Energy,142.29,1.88%
ServiceNow,360.54,1.31%
Sherwin-Williams,207.60,3.24%
Simon Property Group,101.03,2.83%
Skyworks Solutions,84.14,3.32%
Snap-On,207.86,2.33%
Southern,64.50,1.57%
Southwest Airlines,33.12,0.96%
Stanley Black & Decker,73.95,2.51%
Starbucks,88.61,2.10%
State Street,69.09,6.55%
STERIS,167.21,0.92%
Stryker,218.26,1.76%
SVB Financial Group Shs,230.03,-23.95%
Synchrony Financial,32.42,2.74%
Synopsys,296.50,2.34%
Sysco,80.07,3.72%
T. Rowe Price Group,102.52,2.81%
Take Two,125.55,1.34%
Tapestry,31.25,2.58%
Target,159.19,3.08%
TE Connectivity,114.94,3.61%
Teledyne Technologies,350.47,2.91%
Teleflex,197.59,2.04%
Teradyne,77.27,4.49%
Tesla,214.44,3.45%
Texas Instruments,159.72,3.90%
Textron,62.95,3.30%
The Kraft Heinz Company,35.21,-0.37%
Thermo Fisher Scientific,496.93,2.12%
TJX Cos,67.68,3.57%
T-Mobile US,136.46,0.32%
Tractor Supply,197.37,4.14%
Trane Technologies,144.72,3.17%
TransDigm Group,538.00,1.36%
Travelers,176.17,3.21%
Grainger,519.68,2.03%
Trimble Navigation,55.88,4.47%
Truist Financial Corporation,41.52,2.71%
Twitter,49.92,-4.82%
Tyler Technologies,335.20,0.17%
Tyson Foods,65.12,0.85%
U.S. Bancorp,40.52,1.33%
UDR,39.19,0.78%
Ulta Beauty,382.81,0.32%
Union Pacific,190.39,2.12%
United Airlines Holdings,40.44,3.56%
United Parcel Service,165.57,2.96%
United Rentals,284.70,3.37%
UnitedHealth,533.91,2.51%
Universal Health Services,89.99,-4.34%
V.F,27.68,0.36%
Valero Energy,127.63,2.58%
Ventas,37.13,-0.77%
VeriSign,179.15,0.27%
Verisk Analytic a,166.99,0.78%
Verizon,35.33,-4.51%
Vertex Pharmaceuticals,300.00,3.39%
Viatris,9.38,0.43%
Visa,190.53,1.83%
Vornado Realty Trust,22.39,2.54%
Vulcan Materials,155.47,4.24%
W. R. Berkley,71.34,1.54%
Wabtec,86.57,3.05%
Walgreens Boots Alliance,34.30,2.82%
Walmart,136.80,2.04%
Walt Disney,102.03,3.56%
Waste Management,159.81,0.39%
Waters,282.11,2.34%
WEC Energy Group,86.63,1.43%
Wells Fargo,44.84,2.75%
Welltower,57.85,-1.95%
West Pharmaceutical Services,232.88,0.68%
Western Digital,34.86,4.15%
WestRock,32.86,2.70%
Weyerhaeuser,29.97,3.65%
Whirlpool,131.27,0.21%
Williams Companies,31.53,2.04%
Willis Towers Watson,210.72,2.55%
Wynn Resorts,58.80,4.76%
Xcel Energy,60.90,1.97%
Xylem,93.86,3.15%
YUM! Brands,111.02,1.29%
Zebra Technologies,263.04,2.66%
